Rating,Proba_MIN,Proba_MAX,Score_MIN,Score_MAX,Total
1,0.010989232920110226,0.03996504843235016,920.0,1000.0,9443
2,0.03999679535627365,0.07041777670383453,859.0,920.0,3845
3,0.07042985409498215,0.09688137471675873,806.0,859.0,4679
4,0.09689781814813614,0.12239924818277359,755.0,806.0,5260
5,0.12240796536207199,0.14599540829658508,708.0,755.0,6511
6,0.14601776003837585,0.17510880529880524,650.0,708.0,4273
7,0.17514187097549438,0.2242763340473175,551.0,650.0,1535
8,0.22502173483371735,0.40973323583602905,0.0,550.0,235
